================================================================================
          SENARAI KADAR HARGA KERJA ELEKTRIK (RESTUCTURED BQ DATA)
================================================================================

KOD    | HARGA (RM) | DESKRIPSI LENGKAP

BAHAGIAN 1: KATEGORI 1A, 1B & 1C (Mata Lampu & Soket)
------------------------------------------------------------------------------------------------------------------------------------------------------
1A1    | 91.10      | Mata lampu (tanpa suis) menggunakan kabel 2 x 1.5 mm persegi l/d kabel perlindungan.
1A2    | 147.30     | Mata lampu bagi pendawaian dua hala (tanpa suis) menggunakan kabel 2 x 1.5 mm persegi l/d kabel perlindungan
1A3    | 159.30     | Mata lampu bagi pendawaian dua hala dan perantaraan (tanpa suis) menggunakan kabel 2 x 1.5 mm persegi l/d kabel perlindungan.
1A4    | 94.80      | Mata lampu (tanpa suis) l/d pemegang mentol jenis beroti atau beroti sudut bakelit menggunakan kabel 2 x 1.5 mm persegi l/d kabel perlindungan.
1A5    | 106.70     | Mata lampu (tanpa suis) l/d ros siling dan kabel bulat PVK lentur 3 teras 23/0.16 mm sepanjang 1/2 meter menggunakan kabel 2 x 1.5 mm persegi l/d kabel perlindungan.
1A6    | 135.10     | Mata lampu bagi pendawaian dua hala (tanpa suis) , ros siling dan kabel bulat PVK lentur 3 teras 23/0.16 mm sepanjang 1/2 meter menggunakan kabel 2 x 1.5 mm persegi l/d kabel perlindungan.
1A7    | 166.30     | Mata lampu bagi pendawaian dua hala dan perantaraan(tanpa suis) l/d ros siling dan kabel bulat PVK lentur 3 teras23/0.16 mm sepanjang 1/2 meter menggunakan kabel 2 x1.5 mm persegi l/d kabel perlindungan.
1A8    | 79.10      | Mata lampu untuk lampu tanda keluar atau lampu kecemasan (tanpa suis) menggunakan kabel 2 x 1.5 mm persegi l/d kabel perlindungan.
1A9    | 120.20     | Mata lampu (tanpa suis) menggunakan kabel 2 x 2.5 mm persegi l/d kabel perlindungan.
1A10   | 183.20     | Mata lampu (tanpa suis) menggunakan kabel 2 x 4 mm persegi l/d kabel perlindungan.
1A11   | 81.80      | Mata kipas lekapan dinding (tanpa suis) l/d ros siling menggunakan kabel 2 x 1.5 mm persegi l/d kabel perlindungan.
1A12   | 98.10      | Mata kipas pelawas (tanpa suis) l/d ros siling (tidak termasuk menyediakan bukaan) menggunakan kabel 2 x1.5 mm persegi l/d kabel perlindungan.
1A13   | 97.10      | Mata kipas siling (tanpa suis) l/d penyambung 10A 3 hala menggunakan kabel 2 x 1.5 mm persegi l/d kabel perlindungan.
1A14   | 105.50     | Mata kipas siling (tanpa suis) l/d penyambung 10A 3 hala dan cangkuk penggantung menggunakan kabel 2 x 1.5 mm persegi l/d kabel perlindungan.
1A15   | 105.50     | Mata kipas ayun (tanpa suis) l/d penyambung 10A 3 hala dan cangkuk penggantung menggunakan kabel 2 x 1.5 mm persegi l/d kabel perlindungan.
1A16   | 0.00       | Mata soket alur keluar kuasa l/d suis soket alur keluar 13A bertebat penuh menggunakan kabel PVK:-
1A16.1 | 143.20     | 2 x 2.5 mm persegi l/d kabel perlindungan.
1A16.2 | 159.30     | 2 x 4 mm persegi l/d kabel perlindungan.
1A17   | 0.00       | Mata soket alur keluar kuasa l/d suis soket alur keluar 13A terlitup logam menggunakan kabel PVK:-
1A17.1 | 151.90     | 2 x 2.5 mm persegi l/d kabel perlindungan.
1A17.2 | 214.90     | 2 x 4 mm persegi l/d kabel perlindungan.
1A18   | 384.00     | Mata soket alur keluar kuasa l/d suis soket alur keluar 13A terlitup logam jenis kalis cuaca menggunakan kabel 2 x 2.5 mm persegi l/d kabel perlindungan.
1A19   | 237.30     | Mata soket alur keluar kuasa l/d suis soket alur keluar 15A menggunakan kabel 2 x 4 mm persegi l/d kabel perlindungan.
1A20   | 237.30     | Mata soket alur keluar kuasa l/d suis soket alur keluar 15A terlitup logam menggunakan kabel 2 x 4 mm persegi l/d kabel perlindungan.
1A21   | 237.30     | Mata soket alur keluar kuasa l/d suis soket alur keluar 15A dipermukaan lantai l/d kotak pedestal terlitup logam menggunakan kabel 2 x 4 mm persegi l/d kabel perlindungan.
1A22   | 271.10     | Mata pemanas air sehingga 3.6 kW l/d suis dua kutub 20A dengan lampu penunjuk dan suis soket alur keluar 15A menggunakan kabel 2 x 4 mm persegi l/d kabel perlindungan.
1A23   | 201.80     | Mata pemasak l/d unit kawalan pemasak dua kutub 45A dengan lampu penunjuk dan suis soket alur keluar bantuan 13A dengan lampu penunjuk menggunakan kabel 2 x 2.5 mm persegi l/d kabel perlindungan.
1A24   | 0.00       | Mata penyaman udara sehingga 2 kuasa kuda l/d soket alur keluar 15A, suis dua kutub 30A dengan lampu penunjuk :-
1A24.1 | 217.60     | Untuk jarak yang tidak lebih dari 15 meter daripada papan agihan yang berkenaan menggunakan kabel 2 x 4 mm persegi l/d kabel perlindungan.
1A24.2 | 308.80     | Untuk jarak diantara 15 meter hingga 30 meter daripada papan agihan yang berkenaan menggunakan kabel 2 x 6 mm persegi l/d kabel perlindungan.
1A24.3 | 659.40     | Untuk jarak diantara 30 meter hingga 60 meter daripada papan agihan yang berkenaan menggunakan kabel 2 x 6 mm persegi l/d kabel perlindungan.
1A25   | 101.20     | Untuk jarak diantara 30 meter hingga 60 meter daripada papan agihan yang berkenaan menggunakan kabel 2 x 6 mm persegi l/d kabel perlindungan.
1A26   | 96.80      | Mata bekalan utama kepada pengubah loceng / pembaz / chime dan papan penunjuk l/d suis kutub tunggal 10A menggunakan kabel 2 x 1.5 mm persegi l/d kabel perlindungan.
1A27   | 101.20     | Mata loceng tekan/pembaz/chime l/d suis tekan loceng / pembaz / chime 10A menggunakan kabel 2 x 1.5 mm persegi l/d kabel perlindungan.

------------------------------------------------------------------------------------------------------------------------------------------------------
KATEGORI 1B: (Pendawaian dalam Konduit Keluli Bergalvani)
------------------------------------------------------------------------------------------------------------------------------------------------------
1B1    | 133.00     | Mata lampu (tanpa suis) menggunakan kabel 2 x 1.5 mm persegi l/d kabel perlindungan.
1B2    | 189.20     | Mata lampu bagi pendawaian dua hala (tanpa suis) menggunakan kabel 2 x 1.5 mm persegi l/d kabel perlindungan.
1B3    | 201.20     | Mata lampu bagi pendawaian dua hala dan perantaraan (tanpa suis) menggunakan kabel 2 x 1.5 mm persegi l/d kabel perlindungan.
1B4    | 136.70     | Mata lampu (tanpa suis) l/d pemegang mentol jenis beroti atau beroti sudut bakelit menggunakan kabel 2 x 1.5 mm persegi l/d kabel perlindungan.
1B5    | 143.30     | Mata lampu (tanpa suis) l/d ros siling dan kabel bulat PVK lentur 3 teras 23/0.16 mm sepanjang 1/2 meter menggunakan kabel 2 x 1.5 mm persegi l/d kabel perlindungan.
1B6    | 199.50     | Mata lampu bagi pendawaian dua hala (tanpa suis) , ros siling dan kabel bulat PVK lentur 3 teras 23/0.16 mm sepanjang 1/2 meter menggunakan kabel 2 x 1.5 mm persegi l/d kabel perlindungan.
1B7    | 211.50     | Mata lampu bagi pendawaian dua hala dan perantaraan satu 211.50 (tanpa suis) l/d ros siling dan kabel bulat PVK lentur 3 teras 23/0.16 mm sepanjang 1/2 meter menggunakan kabel 2 x 1.5 mm persegi l/d kabel perlindungan.
1B8    | 121.00     | Mata lampu untuk lampu tanda keluar atau lampu kecemasan (tanpa suis) menggunakan kabel 2 x 1.5 mm persegi l/d kabel perlindungan.
1B9    | 205.80     | Mata lampu (tanpa suis) menggunakan kabel 2 x 2.5 mm persegi l/d kabel perlindungan.
1B10   | 341.50     | Mata lampu (tanpa suis) menggunakan kabel 2 x 4 mm persegi l/d kabel perlindungan.
1B11   | 140.00     | Mata kipas lekapan dinding (tanpa suis) l/d ros siling menggunakan kabel 2 x 1.5 mm persegi l/d kabel perlindungan.
1B12   | 140.00     | Mata kipas pelawas (tanpa suis) l/d ros siling menggunakan kabel 2 x 1.5 mm persegi l/d kabel perlindungan.
1B13   | 139.00     | Mata kipas siling (tanpa suis) l/d penyambung 10A 3 hala menggunakan kabel 2 x 1.5 mm persegi l/d kabel perlindungan.
1B14   | 147.40     | Mata kipas siling (tanpa suis) l/d penyambung 10A 3 hala dan cangkuk penggantung menggunakan kabel 2 x 1.5 mm persegi l/d kabel perlindungan.
1B15   | 147.40     | Mata kipas ayun (tanpa suis) l/d penyambung 10A 3 hala dan cangkuk penggantung menggunakan kabel 2 x 1.5 mm persegi l/d kabel perlindungan.
1B16.1 | 228.80     | Mata soket alur keluar 13A bertebat penuh (2 x 2.5 mm persegi).
1B16.2 | 364.60     | Mata soket alur keluar 13A bertebat penuh (2 x 4 mm persegi).
1B17.1 | 237.50     | Mata soket alur keluar 13A terlitup logam (2 x 2.5 mm persegi).
